"TRANSCRIPT","MANN_WHITNEY","VARIANCE_RATIO","TISSUE"
"ENSMUSG00000030057",0.0392068751611269,1.15391717337976,"aorta"
"ENSMUSG00000090862",0.00509572695904004,7.96753598598738,"aorta"
"ENSMUSG00000041841",0.0343809451325736,4.65079022345171,"aorta"
"ENSMUSG00000060802",5.83148821440396e-07,3.76507517139103,"aorta"
"ENSMUSG00000060743",0.00046628370015228,8.3053162923171,"aorta"
"ENSMUSG00000062825",1.46574997154981e-10,5.54067778655272,"aorta"
"ENSMUSG00000057863",0.0306496423714701,4.98431268801653,"aorta"
"ENSMUSG00000044533",0.000309326224009962,5.25506833581132,"aorta"
"ENSMUSG00000047675",1.69980504910448e-11,10.620358358586,"aorta"
"ENSMUSG00000037563",3.46215909739755e-05,3.80873562274166,"aorta"
"ENSMUSG00000057841",2.05835535224048e-05,5.00300088442571,"aorta"
"ENSMUSG00000022108",0.00517936325012912,4.45745737097228,"aorta"
"ENSMUSG00000061787",0.00412825550003809,4.77845158202738,"aorta"
"ENSMUSG00000073411",3.68340336440045e-10,3.64505605264181,"aorta"
"ENSMUSG00000022587",3.17946124634249e-11,4.70586924719705,"aorta"
"ENSMUSG00000093674",0.000316028669479912,5.51401095160513,"aorta"
"ENSMUSG00000062328",1.14252400279502e-07,7.12407573122719,"aorta"
"ENSMUSG00000006333",1.10628778670763e-05,9.54980288480549,"aorta"
"ENSMUSG00000017404",3.48281541252047e-05,5.58996211859759,"aorta"
"ENSMUSG00000059070",0.000852327605280796,4.97443377565178,"aorta"
"ENSMUSG00000043716",0.000473229581195799,4.39637718256832,"aorta"
"ENSMUSG00000003970",2.89533400069124e-08,6.51988576833112,"aorta"
"ENSMUSG00000035530",0.000663415773010158,3.55026690923082,"aorta"
"ENSMUSG00000003429",3.18293112170365e-07,7.31019792464105,"aorta"
"ENSMUSG00000025794",8.64707091828344e-06,4.84097666729483,"aorta"
"ENSMUSG00000001175",3.26587250201591e-12,4.40730501577487,"aorta"
"ENSMUSG00000025492",0.00116546551887514,6.4718289425845,"aorta"
"ENSMUSG00000000740",1.71292576272593e-07,9.18648926735091,"aorta"
"ENSMUSG00000021025",1.30160184342122e-07,30.272119967056,"aorta"
"ENSMUSG00000049775",2.44621998542807e-12,3.83420536493461,"aorta"
"ENSMUSG00000008348",0.00955064987743061,1.30290351073218,"aorta"
"ENSMUSG00000032399",1.60766766319658e-05,6.23226985378995,"aorta"
"ENSMUSG00000025290",4.38403963860227e-08,4.28719811660856,"aorta"
"ENSMUSG00000007892",0.0175281536887688,2.84906661778104,"aorta"
"ENSMUSG00000045128",1.76167227744839e-09,5.89342796642449,"aorta"
"ENSMUSG00000030432",9.03019437517349e-05,3.417675531033,"aorta"
"ENSMUSG00000074129",1.36572642689592e-19,9.92343108384096,"aorta"
"ENSMUSG00000050708",0.0157614681223043,3.41148348493148,"aorta"
"ENSMUSG00000024048",3.91753184313008e-07,7.60552134418181,"aorta"
"ENSMUSG00000028234",8.1130796659346e-10,6.99364971054241,"aorta"
"ENSMUSG00000027447",0.00661499555840828,1.78306653040485,"aorta"
"ENSMUSG00000028639",8.86610716040216e-15,11.6342542050641,"aorta"
"ENSMUSG00000056201",1.5988711779366e-08,4.35301216895714,"aorta"
"ENSMUSG00000029580",5.36909544092653e-08,4.20624834493811,"aorta"
"ENSMUSG00000020372",3.15429846202746e-08,10.9817883118139,"aorta"
"ENSMUSG00000024190",1.43387020941384e-05,2.26668455147091,"aorta"
"ENSMUSG00000027523",0.000801077939438749,2.87789704254216,"aorta"
"ENSMUSG00000018293",0.000210567515202973,8.13651359190138,"aorta"
"ENSMUSG00000058558",0.000676090674946621,6.2969387303487,"aorta"
"ENSMUSG00000071866",0.00673384028667464,4.10518155995285,"aorta"
"ENSMUSG00000047215",1.04933806061907e-05,6.99004335278439,"aorta"
"ENSMUSG00000030744",1.31314704158843e-11,10.436883943586,"aorta"
"ENSMUSG00000034994",0.000109222239538276,1.97970871938964,"aorta"
"ENSMUSG00000049517",0.00114702659750092,3.24894969786886,"aorta"
"ENSMUSG00000035202",4.68796047019928e-28,3.45065707512393,"aorta"
"ENSMUSG00000071415",0.000803322221075883,3.97013191973687,"aorta"
"ENSMUSG00000060036",2.69172861640196e-14,10.7975231850054,"aorta"
"ENSMUSG00000012848",8.17175384422192e-08,8.7315175519317,"aorta"
"ENSMUSG00000063457",0.0057565243587376,1.83877836198923,"aorta"
"ENSMUSG00000008668",2.27415217337915e-05,8.54879952978655,"aorta"
"ENSMUSG00000019505",0.000275205650468716,3.70768102767795,"aorta"
"ENSMUSG00000090841",0.0243784254470802,6.10801793079575,"aorta"
"ENSMUSG00000061477",0.000138022749064258,12.7095864793035,"aorta"
"ENSMUSG00000031320",0.000278836849211911,5.55318902419349,"aorta"
"ENSMUSG00000067274",8.2986587430617e-09,12.2316128273264,"aorta"
"ENSMUSG00000090137",0.000990570563202323,3.7707522831079,"aorta"
"ENSMUSG00000040952",0.00111732597366273,7.67266087810157,"aorta"
"ENSMUSG00000025508",0.000405960509032052,4.17656853601075,"aorta"
"ENSMUSG00000008682",0.0399581452266753,4.45467689106568,"aorta"
"ENSMUSG00000029064",5.62663709149759e-07,3.24308230544383,"aorta"
"ENSMUSG00000032518",0.000189415288300882,13.275868352102,"aorta"
"ENSMUSG00000057666",1.05769698383647e-07,8.22606053504276,"aorta"
"ENSMUSG00000028081",1.12706472102608e-07,11.7231045499851,"aorta"
"ENSMUSG00000062997",1.42542393111838e-05,4.04990495162742,"aorta"
"ENSMUSG00000052146",1.44365015847617e-07,10.4960242582729,"aorta"
"ENSMUSG00000012405",0.0224664244199725,4.554902993382,"aorta"
