"TRANSCRIPT","MANN_WHITNEY","VARIANCE_RATIO","TISSUE"
"ENSMUSG00000030057",0.000359169654348527,10.592362910694,"aorta"
"ENSMUSG00000090862",0.021128201803703,4.66398263320853,"aorta"
"ENSMUSG00000022982",2.19614240325558e-13,21.1504987808155,"aorta"
"ENSMUSG00000018593",2.82127851380328e-16,6.24875438773288,"aorta"
"ENSMUSG00000060802",1.40344299219861e-13,5.48819241487518,"aorta"
"ENSMUSG00000060743",0.00892620897295663,3.19066031287895,"aorta"
"ENSMUSG00000062825",0.00910644035572887,8.08619455816913,"aorta"
"ENSMUSG00000057863",2.60027503683439e-06,2.29766386188372,"aorta"
"ENSMUSG00000037563",0.00991363359452125,3.851946645969,"aorta"
"ENSMUSG00000057841",0.00103674205967088,4.04174686617015,"aorta"
"ENSMUSG00000022108",4.32144858602853e-12,6.53307457391589,"aorta"
"ENSMUSG00000061787",0.000562445794468324,3.27417225753914,"aorta"
"ENSMUSG00000073411",2.11825638344001e-09,4.36663426851422,"aorta"
"ENSMUSG00000022587",0.000129190516797292,20.8235103984578,"aorta"
"ENSMUSG00000093674",0.0119823822823973,2.3038245558821,"aorta"
"ENSMUSG00000062328",0.0194909271344768,6.93990989040192,"aorta"
"ENSMUSG00000007815",0.00201483991181047,7.71994333542446,"aorta"
"ENSMUSG00000006333",0.000692744034115451,3.822086048571,"aorta"
"ENSMUSG00000017404",0.037100347348094,2.83286581851271,"aorta"
"ENSMUSG00000059070",7.161658154481e-06,8.25500397951598,"aorta"
"ENSMUSG00000043716",3.53341133047191e-05,2.45338927580861,"aorta"
"ENSMUSG00000004207",0.000429127103285433,7.93371859218931,"aorta"
"ENSMUSG00000021939",1.94045739335398e-07,5.2973588088799,"aorta"
"ENSMUSG00000003970",0.00227214394218172,4.88023895969277,"aorta"
"ENSMUSG00000020585",6.00887666957716e-13,16.1815218243941,"aorta"
"ENSMUSG00000035530",3.7765998615042e-09,10.6969094208624,"aorta"
"ENSMUSG00000046330",0.000501937386651298,2.67036601256688,"aorta"
"ENSMUSG00000022285",0.0217998773481438,15.5915738195429,"aorta"
"ENSMUSG00000003429",6.68506386487856e-06,4.95174752003946,"aorta"
"ENSMUSG00000001175",3.1782861919138e-05,9.36268886728226,"aorta"
"ENSMUSG00000025492",1.79225892378249e-17,9.96167676315084,"aorta"
"ENSMUSG00000000740",2.07965252989981e-08,3.25242608504252,"aorta"
"ENSMUSG00000058546",0.000115721221595671,2.60269533743776,"aorta"
