"TRANSCRIPT","MANN_WHITNEY","VARIANCE_RATIO","TISSUE"
"ENSMUSG00000030057",1.58866786930848e-07,12.2227094693206,"aorta"
"ENSMUSG00000090862",5.57288885186055e-06,37.1604494681091,"aorta"
"ENSMUSG00000022982",1.21382365918903e-21,24.7055947033258,"aorta"
"ENSMUSG00000041841",0.000127299467340449,7.57764161006778,"aorta"
"ENSMUSG00000018593",7.17124401170504e-13,10.1008592687253,"aorta"
"ENSMUSG00000060802",8.45328160900658e-30,20.6634569970631,"aorta"
"ENSMUSG00000060743",8.16320318334015e-09,26.4994430798031,"aorta"
"ENSMUSG00000062825",3.03130175375067e-20,44.8029985661911,"aorta"
"ENSMUSG00000057863",9.71445089049108e-10,11.4522751395841,"aorta"
"ENSMUSG00000044533",9.37086424940977e-07,9.75942984310073,"aorta"
"ENSMUSG00000047675",7.52437364105846e-17,49.7537856706862,"aorta"
"ENSMUSG00000037563",1.08864173324886e-10,14.6710464074024,"aorta"
"ENSMUSG00000057841",8.92311071790216e-13,20.2208631460741,"aorta"
"ENSMUSG00000022108",9.70709597569866e-24,29.120901414613,"aorta"
"ENSMUSG00000061787",2.5557182608606e-09,15.6454736038681,"aorta"
"ENSMUSG00000073411",2.20999139973923e-29,15.9166266701209,"aorta"
"ENSMUSG00000022587",1.19438439993038e-24,97.9927172027904,"aorta"
"ENSMUSG00000093674",3.6259677956155e-10,12.7033138317107,"aorta"
"ENSMUSG00000062328",3.5054601991003e-14,49.4404436271159,"aorta"
"ENSMUSG00000007815",0.00124644546045207,14.9684659924267,"aorta"
"ENSMUSG00000006333",7.953241926894e-14,36.5001683726181,"aorta"
"ENSMUSG00000017404",1.98097550310177e-09,15.835612612556,"aorta"
"ENSMUSG00000059070",6.18115374079671e-13,41.0639706138441,"aorta"
"ENSMUSG00000043716",1.66987922495553e-12,10.7860246321228,"aorta"
"ENSMUSG00000004207",1.8669292550932e-06,2.05328109118629,"aorta"
"ENSMUSG00000021939",0.0124925112864479,30.6141829187228,"aorta"
"ENSMUSG00000003970",1.38038669605573e-15,31.818600539356,"aorta"
"ENSMUSG00000020585",4.56361367480267e-10,31.9674826645665,"aorta"
"ENSMUSG00000035530",8.60273381633879e-19,37.9768835479271,"aorta"
"ENSMUSG00000046330",5.12880595984524e-05,8.57544575566058,"aorta"
"ENSMUSG00000022285",2.19607354004367e-05,18.7775526231331,"aorta"
"ENSMUSG00000003429",1.31206082906809e-18,36.1982544443389,"aorta"
"ENSMUSG00000025794",2.58129774012744e-10,22.0048667866551,"aorta"
"ENSMUSG00000001175",2.3302054425312e-23,41.2642256059126,"aorta"
"ENSMUSG00000025492",2.57770542300863e-24,64.4702679924311,"aorta"
"ENSMUSG00000000740",7.90487579044854e-25,29.8783773230952,"aorta"
"ENSMUSG00000021025",1.03880093577636e-12,50.8346616020957,"aorta"
"ENSMUSG00000058546",1.58694162180214e-05,29.166255965239,"aorta"
"ENSMUSG00000024661",1.42403065348263e-17,31.6472742909818,"aorta"
