"TRANSCRIPT","MOCHIS","VARIANCE_RATIO","TISSUE"
"ENSMUSG00000030057",7.16404867246484e-10,10.592362910694,"aorta"
"ENSMUSG00000022982",0.000343907055065644,21.1504987808155,"aorta"
"ENSMUSG00000060743",1.79684342900052e-06,3.19066031287895,"aorta"
"ENSMUSG00000062825",3.74679519220003e-05,8.08619455816913,"aorta"
"ENSMUSG00000044533",2.2806251893091e-05,1.85714613387496,"aorta"
"ENSMUSG00000047675",0.0202900823859537,4.6847558237489,"aorta"
"ENSMUSG00000037563",0.0313849090453961,3.851946645969,"aorta"
"ENSMUSG00000022108",2.78102194467565e-06,6.53307457391589,"aorta"
"ENSMUSG00000061787",0.00953741819892968,3.27417225753914,"aorta"
"ENSMUSG00000073411",0.0107465757609464,4.36663426851422,"aorta"
"ENSMUSG00000022587",0.000303812672214234,20.8235103984578,"aorta"
"ENSMUSG00000093674",0.012742237070576,2.3038245558821,"aorta"
"ENSMUSG00000062328",9.53566708283283e-06,6.93990989040192,"aorta"
"ENSMUSG00000007815",3.82707705714774e-10,7.71994333542446,"aorta"
"ENSMUSG00000006333",0.0146427682188994,3.822086048571,"aorta"
"ENSMUSG00000017404",0.00745684490909559,2.83286581851271,"aorta"
"ENSMUSG00000059070",0.00286298992044394,8.25500397951598,"aorta"
"ENSMUSG00000043716",0.0106763087388911,2.45338927580861,"aorta"
"ENSMUSG00000004207",2.90998645149692e-05,7.93371859218931,"aorta"
"ENSMUSG00000021939",2.20434337230982e-07,5.2973588088799,"aorta"
"ENSMUSG00000003970",0.000135843103450296,4.88023895969277,"aorta"
"ENSMUSG00000020585",4.48765876007386e-10,16.1815218243941,"aorta"
"ENSMUSG00000035530",2.37012723725845e-10,10.6969094208624,"aorta"
"ENSMUSG00000022285",3.51635555762835e-10,15.5915738195429,"aorta"
"ENSMUSG00000025794",0.00044061625133858,4.54554283132944,"aorta"
"ENSMUSG00000001175",0.0154421620060253,9.36268886728226,"aorta"
