,SEED,WILCOX,MOCHIS
0,0,0.5726706204146461,0.5713148722174662
0,1,0.22936353235748674,0.22859214673075923
0,2,0.509379419870613,0.5081008981691348
0,3,0.7122970809319897,0.7108117038332966
0,4,0.6711377271218335,0.6696849562784702
0,5,0.007426442028393354,0.007382374969496889
0,6,0.08112497573011138,0.08077810887778994
0,7,0.30649842600452126,0.30555650932167844
0,8,0.8717289986857157,0.8701593734740412
0,9,0.454754301961834,0.4535524056892153
0,10,0.6028763417905567,0.6014879103344155
0,11,0.43105959106727454,0.42989395748656734
0,12,0.7004450749783308,0.6989686186565944
0,13,0.9032194920197208,0.901640922626556
0,14,0.29532221415477633,0.2944033429449846
0,15,0.6740469543189157,0.6725917280489242
0,16,0.8748697588461063,0.8732991291691634
0,17,0.8404405346698729,0.8388822816239486
0,18,0.6056575226775119,0.6042662139160957
0,19,0.7878492867577204,0.7863157815735329
0,20,0.7664576485220216,0.7649362516075441
0,21,0.564559139999254,0.5632126206332208
0,22,0.43809177973238456,0.4369151874101028
0,23,0.34371568853466006,0.3427007503132494
0,24,0.8717289986857157,0.8701593734740412
0,25,0.1025600650461706,0.10214121050001726
0,26,0.5538306031178071,0.5524965880836247
0,27,0.8342113347741638,0.832655642997985
0,28,0.992047749957723,0.9904573694642501
0,29,0.22324414409608084,0.22248751197863104
0,30,0.03797777660847323,0.03779344947732803
0,31,0.38152608797861987,0.3804425068322881
0,32,0.5565033554626979,0.5551661933952131
0,33,0.3376548342884178,0.33665140863243215
0,34,0.4240933144328449,0.42293870269911993
0,35,0.5326776889711122,0.5313693338607317
0,36,0.6974933000384079,0.6960191241047622
0,37,0.29716571346700427,0.2962430042152244
0,38,0.8560564837025132,0.8544922441652267
0,39,0.769503139874077,0.7679799464504731
0,40,0.29532221415477633,0.29440334294498527
0,41,0.6740469543189157,0.6725917280489258
0,42,0.7452425758271113,0.7437343666401394
0,43,0.1185695417671344,0.11809980365456828
0,44,0.454754301961834,0.4535524056892126
0,45,0.6711377271218335,0.669684956278475
0,46,0.08981869372065565,0.08944205441218515
0,47,0.5699606530872752,0.5686079666744509
0,48,0.3772031242166869,0.3761271201773593
0,49,0.9570778618198426,0.9554897736115802
0,50,0.7664576485220216,0.7649362516075457
0,51,0.8685902596064398,0.8670216631491735
0,52,0.5511641517292304,0.5498332974745743
0,53,0.5326776889711122,0.5313693338607282
0,54,0.9570778618198426,0.955489773611581
0,55,0.9475521084924271,0.9459651746460522
0,56,0.5808370135352097,0.5794721685039437
0,57,0.6916035020266309,0.6901339463815934
0,58,0.1623083757446271,0.16171006969942603
0,59,0.30274228923500834,0.30180805849863357
0,60,0.4717680477466709,0.47054125913814904
0,61,0.7512851304057546,0.7497730448439005
0,62,0.8560564837025132,0.8544922441652275
0,63,0.5808370135352097,0.5794721685039446
0,64,0.44281633078200944,0.44163246953870483
0,65,0.29165823879513575,0.2907470392912539
0,66,0.9000627420779619,0.8984849565475013
0,67,0.3924657758532224,0.3913633243637199
0,68,0.12238036669089568,0.1218988436262038
0,69,0.8654535901623903,0.8638860467000575
0,70,0.9000627420779619,0.8984849565475013
0,71,0.7182494611969097,0.7167597455900541
0,72,0.3102853140039783,0.309335708516306
0,73,0.9761464092891448,0.9745566921932822
0,74,0.22022863612643884,0.21947934606697317
0,75,0.5918095644109006,0.5904328016350404
0,76,0.31795137600051293,0.31698638816935654
0,77,0.5068240619876805,0.5055489141709921
0,78,0.1635099966868684,0.16290835065233167
0,79,0.5918095644109006,0.5904328016350435
0,80,0.9570778618198426,0.9554897736115793
0,81,0.8404405346698729,0.8388822816239476
0,82,0.27205389877116526,0.27118475124465724
0,83,0.16111343024545377,0.16051845510453733
0,84,0.4126303174322029,0.411494205538247
0,85,0.8654535901623903,0.8638860467000566
0,86,0.8498029798941653,0.8482410632346591
0,87,0.48662618248721434,0.48537842134963405
0,88,0.28621978696318306,0.2853200823448214
0,89,0.325740501112435,0.3247601311085837
0,90,0.1635099966868684,0.16290835065233333
0,91,0.09924722359781865,0.09883919133791923
0,92,0.4475698808106763,0.4463787814672636
0,93,0.26174964277112334,0.2609032952099607
0,94,0.29532221415477633,0.29440334294498405
0,95,0.1587434926758733,0.15815515186908258
0,96,0.04600364672413169,0.04578682626629498
0,97,0.032769546764384434,0.032607031536076095
0,98,0.564559139999254,0.5632126206332184
0,99,0.40809702602280173,0.4069683563816967
0,100,0.9825061620903486,0.9809161038531401
0,101,0.5222567023905682,0.5209614857186031
0,102,0.2583756164863803,0.25753684187771897
0,103,0.7482619203021299,0.7467517621702884
0,104,0.8063139046140827,0.8047709009969766
0,105,0.6480441848925622,0.6466117287618584
0,106,0.8279925219045126,0.8264394859273383
0,107,0.8342113347741638,0.8326556429979868
0,108,0.3772031242166869,0.3761271201773593
0,109,0.041428683072179964,0.041230228598246134
0,110,0.8937540317299955,0.8921778879130612
0,111,0.6394691656171401,0.6380446276887957
0,112,0.37077556787736576,0.36971095718403446
0,113,0.5538306031178071,0.552496588083629
0,114,0.24035783376274222,0.239560422002272
0,115,0.8217844734351598,0.8202341872874865
0,116,0.5432028762307501,0.541881585461048
0,117,0.3539704533048973,0.35293636197075073
0,118,0.4717680477466709,0.47054125913815037
0,119,0.34984556822382107,0.3488191321886991
0,120,0.7847831048673367,0.7832512622783483
